Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las máximas;PRINCIPADO DE ASTURIAS;9.2;14.3;14.8;15.0;17.9;19.4;23.2;23.6;21.4;18.2;11.2;12.1;16.7
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE BALEARES;14.4;16.5;18.1;18.8;22.5;28.6;32.6;31.4;27.9;24.4;17.6;17.2;22.5
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CANTABRIA;9.0;14.5;14.6;15.1;17.1;21.3;24.1;23.9;21.6;19.0;11.8;12.7;17.1
Temperatura media de las máximas;CIUDAD AUTÓNOMA DE CEUTA;16.8;16.7;18.7;19.6;23.6;25.1;27.9;29.0;26.6;24.0;19.2;18.0;22.1
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE LA RIOJA;8.3;12.8;15.1;14.9;18.7;26.5;28.8;28.6;23.1;19.7;10.6;10.8;18.2
Temperatura media de las máximas;COMUNIDAD DE MADRID;11.2;14.7;17.5;16.1;24.3;29.0;33.4;31.7;26.2;20.9;11.8;12.2;20.8
Temperatura media de las máximas;CIUDAD AUTÓNOMA DE MELILLA;17.4;17.4;19.0;20.7;24.6;25.8;29.0;30.2;27.5;25.0;20.2;18.6;23.0
Temperatura media de las máximas;REGIÓN DE MURCIA;15.0;17.1;19.1;18.9;25.1;29.8;33.4;33.2;27.3;24.2;17.2;16.1;23.0
Temperatura media de las máximas;COMUNIDAD FORAL DE NAVARRA;8.3;13.8;15.2;15.8;18.6;27.0;29.1;28.8;24.3;19.8;10.7;11.0;18.5
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CANARIAS;17.8;20.3;19.3;19.6;22.5;23.2;24.9;27.8;25.5;24.5;21.1;19.9;22.2
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;14.2;17.3;19.8;19.1;27.2;29.8;33.3;34.2;29.1;24.7;15.6;16.0;23.4
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE ARAGÓN;8.9;14.4;16.6;15.8;20.9;28.4;31.7;30.5;25.4;20.6;11.5;11.2;19.7
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;11.4;15.5;18.0;16.4;24.8;30.1;34.2;33.1;26.9;22.2;12.1;12.2;21.4
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;8.7;13.3;15.4;14.6;21.1;25.3;29.7;28.8;23.9;18.9;10.0;10.3;18.3
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE CATALUÑA;9.8;15.1;17.5;16.8;20.7;27.7;31.1;30.3;26.1;21.4;13.1;12.3;20.2
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE EXTREMADURA;13.5;16.7;20.0;19.2;27.7;29.8;34.0;34.1;30.0;24.1;15.1;14.6;23.2
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DE GALICIA;10.7;14.7;16.2;15.6;20.6;20.4;25.6;25.2;23.4;18.0;11.7;12.0;17.8
Temperatura media de las máximas;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;8.3;14.7;15.4;15.8;17.7;24.2;26.2;26.2;23.0;20.1;11.9;12.6;18.0
Temperatura media de las máximas;COMUNITAT VALENCIANA;14.1;16.6;18.8;17.9;23.1;28.0;32.1;31.3;26.6;23.4;16.3;15.6;22.0
