Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Anomalía de la temperatura media;A CORUÑA;-0.2;1.6;0.5;0.1;1.1;-1.4;0.9;0.4;0.9;0.5;-0.2;1.0;0.5
Anomalía de la temperatura media;ALBACETE;0.0;1.3;0.5;-0.8;1.3;0.6;1.3;0.7;0.1;1.2;-0.3;2.0;0.6
Anomalía de la temperatura media;ALICANTE/ALACANT;0.0;0.5;0.3;-0.4;0.3;0.3;1.5;0.7;0.4;0.9;0.2;2.1;0.6
Anomalía de la temperatura media;ALMERIA;0.5;0.8;0.4;-0.4;1.4;0.6;0.8;1.0;0.4;1.0;0.0;1.8;0.7
Anomalía de la temperatura media;ARABA/ALAVA;-0.6;1.8;0.5;0.2;-1.5;1.1;1.2;0.9;0.2;1.4;-0.4;1.3;0.5
Anomalía de la temperatura media;ASTURIAS;-0.8;1.9;0.6;0.4;0.1;-0.7;0.7;0.4;0.2;1.0;-0.7;1.3;0.4
Anomalía de la temperatura media;AVILA;-0.1;1.7;0.5;-0.5;1.2;0.0;1.4;0.4;-0.1;1.3;-0.4;2.3;0.7
Anomalía de la temperatura media;BADAJOZ;0.2;1.1;0.7;-0.4;2.7;-1.1;-0.4;0.2;0.7;1.1;-0.2;2.1;0.6
Anomalía de la temperatura media;ILLES BALEARS;-0.4;0.4;0.4;-0.2;-0.9;0.5;1.5;0.5;0.7;0.8;-0.6;1.8;0.3
Anomalía de la temperatura media;BARCELONA;-0.7;1.7;1.1;-0.1;-1.2;0.8;1.3;1.2;1.1;1.5;-0.6;2.3;0.7
Anomalía de la temperatura media;BIZKAIA;-1.3;2.3;0.7;0.4;-1.5;0.3;1.1;0.6;0.4;1.2;-0.6;1.7;0.4
Anomalía de la temperatura media;BURGOS;-0.4;1.7;0.5;-0.1;-0.7;1.0;1.1;0.7;-0.1;1.4;-0.2;1.7;0.6
Anomalía de la temperatura media;CACERES;0.3;1.2;1.0;-0.5;2.4;-1.2;-0.1;0.1;0.5;1.0;-0.2;2.0;0.5
Anomalía de la temperatura media;CADIZ;-0.1;0.7;0.8;-0.3;2.1;-0.9;-0.8;0.6;0.5;0.5;-0.8;1.4;0.3
Anomalía de la temperatura media;CANTABRIA;-1.0;1.4;0.2;0.1;-1.1;-0.1;1.1;0.3;0.1;0.9;-0.6;1.1;0.2
Anomalía de la temperatura media;CASTELLON/CASTELLÓ;0.2;1.2;1.0;-0.1;0.1;0.3;1.4;0.8;0.8;1.4;0.2;2.3;0.8
Anomalía de la temperatura media;CEUTA;0.8;0.5;0.9;0.2;1.7;-0.3;0.6;1.2;0.4;1.2;0.1;1.2;0.7
Anomalía de la temperatura media;CIUDAD REAL;0.2;1.4;0.9;-0.6;2.2;0.4;1.2;0.6;0.3;1.6;-0.6;2.0;0.8
Anomalía de la temperatura media;CORDOBA;0.0;1.2;0.7;-0.5;2.9;-0.4;0.0;0.7;0.7;1.3;-0.7;2.0;0.6
Anomalía de la temperatura media;CUENCA;0.4;1.8;0.9;-0.5;1.3;0.7;1.5;0.7;0.8;1.3;-0.5;2.2;0.8
Anomalía de la temperatura media;GIPUZKOA;-1.6;2.6;0.6;0.3;-2.0;0.6;1.0;0.4;0.4;1.2;-0.7;1.5;0.4
Anomalía de la temperatura media;GIRONA;-0.3;2.0;1.3;-0.1;-1.1;1.0;1.7;1.5;1.0;1.7;-0.6;2.4;0.9
Anomalía de la temperatura media;GRANADA;0.5;1.1;0.7;-0.7;2.4;0.9;0.9;1.4;0.6;1.3;-1.1;2.2;0.8
Anomalía de la temperatura media;GUADALAJARA;0.5;2.1;1.0;-0.4;0.7;1.2;2.0;1.0;0.6;1.5;-0.5;2.4;1.0
Anomalía de la temperatura media;HUELVA;0.6;1.2;0.6;-0.3;2.8;-1.4;-1.3;0.6;0.8;0.5;-0.4;1.9;0.5
Anomalía de la temperatura media;HUESCA;-0.4;2.0;1.0;0.0;-0.7;1.3;1.8;1.2;0.9;1.4;-0.9;2.2;0.8
Anomalía de la temperatura media;JAEN;-0.1;1.3;1.0;-0.7;2.5;0.4;0.5;1.0;0.1;1.2;-1.3;1.8;0.7
Anomalía de la temperatura media;LA RIOJA;0.4;1.5;0.7;0.3;-0.7;1.3;1.5;1.0;0.2;1.7;-0.1;1.9;0.8
