Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las máximas;A CORUÑA;11.9;15.3;16.1;16.0;20.2;19.7;24.2;24.1;22.9;18.1;13.0;13.3;17.9
Temperatura media de las máximas;ALBACETE;11.5;15.4;17.8;16.5;24.6;30.1;34.3;33.3;26.3;22.4;12.7;12.6;21.5
Temperatura media de las máximas;ALICANTE/ALACANT;15.1;17.1;18.9;18.7;23.7;28.5;32.5;31.8;27.0;23.9;17.4;16.7;22.6
Temperatura media de las máximas;ALMERIA;14.6;16.6;18.0;18.1;24.2;28.5;32.1;32.3;26.8;23.6;16.5;16.3;22.3
Temperatura media de las máximas;ARABA/ALAVA;7.5;13.1;14.7;15.2;17.9;25.3;27.2;27.2;22.7;19.5;10.7;10.9;17.7
Temperatura media de las máximas;ASTURIAS;9.2;14.3;14.8;15.0;17.9;19.4;23.2;23.6;21.4;18.2;11.2;12.1;16.7
Temperatura media de las máximas;AVILA;8.7;13.0;15.1;13.8;21.8;25.7;30.4;29.1;23.9;19.0;9.7;11.0;18.4
Temperatura media de las máximas;BADAJOZ;13.9;17.3;20.3;19.5;28.3;30.2;34.0;34.5;30.6;24.9;15.7;15.2;23.7
Temperatura media de las máximas;ILLES BALEARS;14.4;16.5;18.1;18.8;22.5;28.6;32.6;31.4;27.9;24.4;17.6;17.2;22.5
Temperatura media de las máximas;BARCELONA;10.3;15.4;17.7;16.9;20.4;27.8;30.9;30.4;26.3;21.8;13.6;12.7;20.4
Temperatura media de las máximas;BIZKAIA;9.2;16.1;16.1;16.5;17.9;23.3;25.5;25.6;23.4;20.8;13.2;14.4;18.5
Temperatura media de las máximas;BURGOS;7.5;13.0;14.6;14.2;18.8;25.7;28.2;28.0;22.6;18.7;9.5;10.1;17.6
Temperatura media de las máximas;CACERES;13.0;16.1;19.6;18.8;27.1;29.3;33.9;33.7;29.4;23.3;14.5;14.0;22.7
Temperatura media de las máximas;CADIZ;16.1;18.2;20.3;20.4;26.5;27.7;30.8;32.7;29.5;25.2;17.6;17.6;23.6
Temperatura media de las máximas;CANTABRIA;9.0;14.5;14.6;15.1;17.1;21.3;24.1;23.9;21.6;19.0;11.8;12.7;17.1
Temperatura media de las máximas;CASTELLON/CASTELLÓ;12.8;15.6;17.9;16.9;21.6;26.7;30.8;29.4;25.6;22.2;15.6;15.0;20.8
Temperatura media de las máximas;CEUTA;16.8;16.7;18.7;19.6;23.6;25.1;27.9;29.0;26.6;24.0;19.2;18.0;22.1
Temperatura media de las máximas;CIUDAD REAL;12.2;16.5;18.8;17.4;26.5;31.2;35.3;34.6;28.3;23.7;13.0;12.7;22.5
