Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;A CORUÑA;3.9;4.9;5.4;6.5;9.1;10.3;14.0;13.8;13.1;10.8;7.9;6.3;8.8
Temperatura media de las mínimas;ALBACETE;-0.4;1.1;3.0;5.8;9.9;13.4;18.1;17.0;14.4;9.5;5.4;3.9;8.4
Temperatura media de las mínimas;ALICANTE/ALACANT;3.6;4.4;6.4;8.9;11.9;15.6;20.2;19.7;17.6;13.3;9.1;7.8;11.5
Temperatura media de las mínimas;ALMERIA;3.9;4.3;6.5;8.1;12.3;15.5;19.2;19.4;16.4;12.1;8.3;6.7;11.1
Temperatura media de las mínimas;ARABA/ALAVA;0.8;1.3;2.2;4.1;5.3;10.2;13.4;13.0;10.7;8.7;4.5;2.6;6.4
Temperatura media de las mínimas;ASTURIAS;1.7;3.1;3.9;5.2;7.1;10.5;13.8;13.5;11.5;9.4;5.6;4.1;7.4
Temperatura media de las mínimas;AVILA;-2.1;-0.3;0.9;2.9;5.9;10.2;14.7;13.5;10.1;7.4;3.3;2.1;5.7
Temperatura media de las mínimas;BADAJOZ;2.2;4.0;6.2;7.8;12.7;13.9;17.6;17.8;16.0;11.6;8.1;7.0;10.4
Temperatura media de las mínimas;ILLES BALEARS;4.8;4.9;7.0;9.3;11.4;16.4;20.5;20.5;18.3;14.6;9.5;8.7;12.2
Temperatura media de las mínimas;BARCELONA;-0.3;1.6;3.6;6.2;8.2;13.4;17.4;17.4;14.2;10.9;4.1;4.5;8.4
Temperatura media de las mínimas;BIZKAIA;3.3;4.6;5.0;6.4;7.7;11.7;15.2;14.9;12.9;11.3;6.8;5.6;8.8
Temperatura media de las mínimas;BURGOS;-1.5;-0.9;0.7;3.0;4.5;9.5;12.9;12.1;9.3;7.3;3.6;1.7;5.2
Temperatura media de las mínimas;CACERES;2.1;4.0;6.1;7.2;12.1;13.6;17.9;17.8;15.7;11.5;7.5;6.1;10.1
Temperatura media de las mínimas;CADIZ;5.5;7.2;9.6;9.8;14.2;15.2;18.4;19.5;17.5;13.8;10.2;9.1;12.5
Temperatura media de las mínimas;CANTABRIA;1.4;1.7;2.9;4.7;6.1;10.2;13.6;12.9;11.0;9.0;5.1;3.3;6.8
Temperatura media de las mínimas;CASTELLON/CASTELLÓ;2.3;2.9;4.8;6.8;9.3;13.3;17.6;17.7;15.0;11.3;6.5;5.7;9.4
Temperatura media de las mínimas;CEUTA;11.3;11.6;13.4;13.1;16.5;17.8;20.6;21.5;19.1;17.3;13.9;13.1;15.8
Temperatura media de las mínimas;CIUDAD REAL;-0.3;1.2;4.1;6.1;11.1;14.4;19.2;17.8;14.7;10.3;5.6;4.5;9.1
Temperatura media de las mínimas;CORDOBA;1.9;3.4;5.9;7.7;12.8;14.7;18.5;18.8;16.3;11.8;7.4;6.4;10.5
Temperatura media de las mínimas;CUENCA;-1.8;-0.5;1.5;4.4;7.7;11.9;16.5;15.3;12.7;8.2;3.9;2.7;6.9
Temperatura media de las mínimas;GIPUZKOA;2.7;4.6;4.6;6.4;7.4;11.7;15.0;14.7;12.7;11.4;6.5;5.2;8.6
Temperatura media de las mínimas;GIRONA;-0.4;1.5;3.5;5.8;7.7;12.7;17.3;16.6;13.3;10.5;3.6;3.9;8.0
Temperatura media de las mínimas;GRANADA;0.8;1.6;3.8;5.2;10.3;13.1;16.8;16.9;13.7;9.3;4.5;4.0;8.3
Temperatura media de las mínimas;GUADALAJARA;-2.4;-1.1;0.7;3.2;5.9;11.0;15.2;14.2;10.7;7.0;3.1;1.6;5.8
Temperatura media de las mínimas;HUELVA;5.2;6.3;7.7;9.1;13.7;14.0;17.1;18.6;16.9;12.8;9.5;8.4;11.6
Temperatura media de las mínimas;HUESCA;-2.1;-0.6;1.3;4.1;5.9;11.9;15.6;15.1;11.0;8.0;2.1;1.9;6.2
Temperatura media de las mínimas;JAEN;1.5;2.9;5.4;7.0;12.3;15.0;18.8;18.9;15.6;11.0;6.1;4.8;9.9
Temperatura media de las mínimas;LA RIOJA;0.3;0.1;1.6;4.2;5.9;10.7;14.2;13.3;10.5;8.1;3.9;2.2;6.2
Temperatura media de las mínimas;LAS PALMAS;12.3;13.2;13.3;14.0;16.1;17.0;18.8;20.4;19.2;18.4;16.2;14.2;16.1
Temperatura media de las mínimas;LEON;-2.8;-1.5;-0.1;2.0;4.2;8.1;11.7;10.7;8.0;6.1;2.5;0.7;4.1
