Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;PRINCIPADO DE ASTURIAS;3.3;5.2;4.5;7.8;10.1;10.7;13.6;13.6;11.7;8.2;6.7;3.9;8.3
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE BALEARES;6.4;7.4;8.6;10.9;14.4;16.6;19.7;20.5;17.3;12.4;11.2;7.4;12.7
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CANTABRIA;2.4;4.3;3.5;8.2;9.1;10.7;13.2;13.5;10.9;8.0;6.0;3.1;7.7
Temperatura media de las mínimas;CIUDAD AUTÓNOMA DE CEUTA;11.5;13.1;12.4;13.8;16.2;18.3;22.0;22.2;20.3;15.9;15.0;11.8;16.0
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE LA RIOJA;0.2;2.4;2.7;6.8;9.7;10.6;13.2;13.3;10.3;6.1;4.0;1.6;6.7
Temperatura media de las mínimas;COMUNIDAD DE MADRID;1.2;3.3;4.5;7.5;11.1;13.2;18.2;16.2;12.7;6.9;5.8;2.1;8.6
Temperatura media de las mínimas;CIUDAD AUTÓNOMA DE MELILLA;9.9;12.4;13.2;14.0;17.5;19.8;23.2;24.2;21.6;16.7;14.5;11.7;16.6
Temperatura media de las mínimas;REGIÓN DE MURCIA;3.3;6.3;7.6;9.3;12.9;15.5;19.0;19.2;15.3;10.0;8.8;4.4;11.0
Temperatura media de las mínimas;COMUNIDAD FORAL DE NAVARRA;1.3;3.4;3.7;8.1;10.9;11.8;14.4;14.8;11.6;7.2;5.0;2.6;7.9
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CANARIAS;11.3;13.8;12.4;13.2;15.2;16.8;19.8;19.9;19.4;17.0;15.4;12.6;15.6
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;4.2;7.0;7.6;9.7;13.4;15.3;20.1;18.9;16.0;10.2;9.5;5.2;11.4
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE ARAGÓN;0.1;2.8;3.5;7.0;10.4;11.9;15.3;15.3;11.2;6.2;4.2;0.9;7.4
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;0.9;3.3;4.4;7.6;11.1;13.4;18.0;16.6;12.6;6.7;5.6;1.7;8.5
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;0.1;2.0;2.2;6.1;8.5;9.6;13.3;12.1;9.5;5.1;4.1;0.8;6.1
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE CATALUÑA;1.1;3.7;4.2;7.2;11.2;12.7;16.2;16.3;12.4;7.0;5.5;1.3;8.2
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE EXTREMADURA;4.2;6.5;6.9;9.5;13.4;14.2;20.3;17.6;15.6;9.9;9.4;5.0;11.0
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DE GALICIA;3.8;5.6;4.9;7.8;10.4;10.7;13.6;13.0;11.5;8.4;7.0;4.2;8.4
Temperatura media de las mínimas;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;3.0;5.2;4.2;8.8;10.3;11.6;13.7;14.3;11.6;8.3;6.8;4.1;8.5
Temperatura media de las mínimas;COMUNITAT VALENCIANA;3.3;5.9;7.1;9.0;12.6;15.0;18.3;18.6;14.5;9.6;7.8;4.3;10.5
