Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las máximas;1981-2010;SALAMANCA;8.9;11.1;14.7;16.1;20.2;26.4;30.4;30.1;25.5;18.7;12.8;9.5;18.7
Temperatura media de las máximas;1981-2010;SANTA CRUZ DE TENERIFE;16.4;16.8;18.0;18.1;19.5;22.1;25.1;25.7;24.3;22.0;19.4;17.3;20.4
Temperatura media de las máximas;1981-2010;SEGOVIA;7.7;9.8;13.5;15.1;19.4;25.6;29.6;29.0;24.2;17.6;11.6;8.4;17.6
Temperatura media de las máximas;1981-2010;SEVILLA;14.8;16.7;20.4;21.9;25.8;31.2;35.2;34.9;30.7;24.8;19.0;15.4;24.2
Temperatura media de las máximas;1981-2010;SORIA;7.2;9.2;12.9;14.4;18.7;24.6;28.7;28.2;23.3;17.0;11.0;7.8;16.9
Temperatura media de las máximas;1981-2010;TARRAGONA;11.8;13.6;16.8;18.9;22.6;27.2;30.4;30.2;26.4;21.5;15.7;12.2;20.6
Temperatura media de las máximas;1981-2010;TERUEL;8.4;10.0;13.4;15.1;19.4;25.1;29.3;28.5;23.7;17.9;12.1;8.9;17.6
Temperatura media de las máximas;1981-2010;TOLEDO;10.7;13.0;17.3;19.1;23.6;30.2;34.3;33.7;28.4;21.2;14.9;11.0;21.4
Temperatura media de las máximas;1981-2010;VALENCIA/VALÈNCIA;12.7;14.1;17.3;19.1;22.8;27.8;31.3;31.1;27.0;21.7;16.4;13.2;21.2
Temperatura media de las máximas;1981-2010;VALLADOLID;8.0;10.9;14.8;16.4;20.5;26.5;30.1;29.5;25.2;18.6;12.3;8.7;18.5
Temperatura media de las máximas;1981-2010;ZAMORA;7.8;10.4;14.2;15.8;19.8;25.7;29.3;28.9;24.5;18.0;11.9;8.7;17.9
Temperatura media de las máximas;1981-2010;ZARAGOZA;9.5;11.8;15.7;17.8;22.3;27.7;31.3;30.6;25.9;20.0;13.6;9.9;19.7
