Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;1981-2010;PONTEVEDRA;3.5;3.7;5.2;6.2;8.5;11.4;13.1;13.1;11.5;9.2;6.3;4.4;8.0
Temperatura media de las mínimas;1981-2010;SALAMANCA;-0.1;0.4;2.4;4.0;7.0;10.8;13.0;12.9;10.5;7.0;3.2;1.0;6.0
Temperatura media de las mínimas;1981-2010;SANTA CRUZ DE TENERIFE;9.9;9.9;10.7;11.0;12.3;14.6;17.2;17.8;16.7;14.9;12.9;11.1;13.2
Temperatura media de las mínimas;1981-2010;SEGOVIA;-0.9;-0.5;1.5;3.2;6.6;10.5;12.8;12.7;9.8;6.3;2.2;0.1;5.4
Temperatura media de las mínimas;1981-2010;SEVILLA;4.2;5.4;7.5;9.0;11.9;15.7;18.1;18.4;16.2;12.7;8.3;5.8;11.1
Temperatura media de las mínimas;1981-2010;SORIA;-1.8;-1.5;0.5;2.2;5.7;9.3;11.5;11.4;8.4;5.1;1.4;-0.8;4.3
Temperatura media de las mínimas;1981-2010;TARRAGONA;3.4;3.8;6.0;7.8;11.4;15.4;18.3;18.6;15.4;11.7;7.1;4.2;10.3
Temperatura media de las mínimas;1981-2010;TERUEL;-1.1;-0.5;1.5;3.3;7.0;11.0;13.7;13.6;10.3;6.7;2.4;0.0;5.7
Temperatura media de las mínimas;1981-2010;TOLEDO;0.8;1.8;4.2;6.1;10.0;14.8;17.5;17.2;13.8;9.4;4.7;1.9;8.5
Temperatura media de las mínimas;1981-2010;VALENCIA/VALÈNCIA;2.6;3.3;5.1;7.0;10.3;14.4;17.2;17.6;14.8;10.8;6.4;3.8;9.4
Temperatura media de las mínimas;1981-2010;VALLADOLID;-0.6;-0.3;1.8;3.5;7.0;10.7;12.8;12.6;9.8;6.4;2.5;0.4;5.6
Temperatura media de las mínimas;1981-2010;ZAMORA;-0.7;-0.4;1.7;3.5;6.6;10.4;12.5;12.3;9.7;6.4;2.5;0.3;5.4
Temperatura media de las mínimas;1981-2010;ZARAGOZA;1.0;1.5;3.8;5.8;9.5;13.4;15.9;15.8;12.6;8.8;4.4;1.7;7.8
